# 생성기: scripts/gen_metric_gold_mapping.py | 측정일: 2026-08-10
# 본 파일은 자동 생성물입니다. 직접 수정 금지 — 생성기 scripts/gen_metric_gold_mapping.py 수정 후 재실행하세요.

## 지표 → GOLD 매핑 (215)
지표#,구분,지표명,유형,소스,단위,GOLD_배속,GOLD_매핑(물리컬럼/SV base),SILVER_원천,BRONZE_원천,정본_계산식,상태,상태_근거
공1,개발,월 목표대비 개발(%),derived,복합,%,SV,SV metric — 분자: DEV_CNT / 분모: GOAL_CNT,CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,월 개발건 / 월 회원개발목표,PARTIAL,"실측: `FACT_MEMBER_EVENT.DEV_CNT` 비영 2,291,878/4,633,105 (49.5%) · 채움률 95% 미만"
공2,개발,누계 목표대비 개발(%),derived,복합,%,SV,SV metric — 분자: DEV_CNT(YTD) / 분모: GOAL_CNT(YTD),CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,누계 개발건 / 누계 회원개발목표,PARTIAL,"실측: `FACT_MEMBER_EVENT.DEV_CNT` 비영 2,291,878/4,633,105 (49.5%) · 채움률 95% 미만"
공3,개발,연 목표대비 개발(%),derived,복합,%,SV,SV metric — 분자: DEV_CNT(YR) / 분모: GOAL_CNT(YR),CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,연 개발건 / 연 회원개발목표,PARTIAL,"실측: `FACT_MEMBER_EVENT.DEV_CNT` 비영 2,291,878/4,633,105 (49.5%) · 채움률 95% 미만"
공4,개발,CRM 개발(건),measure,CRM,건,FMM,FMM.DEV_CNT,CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,"회원번호 기준, 회원의 CRM 개발 건 ( = 전체 후원금액 / 10,000 )",PARTIAL,"실측: `FACT_MEMBER_MONTHLY.DEV_CNT` 비영 1,996,977/40,054,883 (5.0%) · 채움률 95% 미만"
공5,개발,GA 개발(건),measure,GA4,건,FMM,FMM.DEV_CNT,CRM_MEMBER_DEV.DVLP_DIV_CD,TC_CMMN_DTL_CD;TM_MM_FDRM_MBER_DVLP_AMT,"GA 개발 건 ( = 전체 후원금액 / 10,000 )",PARTIAL,"실측: `FACT_MEMBER_MONTHLY.DEV_CNT` 비영 1,996,977/40,054,883 (5.0%) · ⚠️ 채움률은 **적재된 샤드 내부** 기준이다 — GA4 전기간 미입고(G-5)"
공6,개발,GA 광고비,measure,GA4,원,FAD,FAD.AD_COST,AGENCY_AD_PERFORMANCE.AD_COST,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,"GA 광고비 ( = 전체 후원금액 / 10,000 )",PARTIAL,"실측: `FACT_AD_PERFORMANCE.AD_COST` 비영 231,012/243,545 (94.9%) · ⚠️ 채움률은 **적재된 샤드 내부** 기준이다 — GA4 전기간 미입고(G-5)"
공7,개발,CRM 개발단가,derived,복합,원,SV,SV metric — 분자: AD_COST / 분모: DEV_CNT,AGENCY_AD_PERFORMANCE.AD_COST,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,광고비 / CRM 개발 건,PARTIAL,"실측: `FACT_AD_PERFORMANCE.AD_COST` 비영 231,012/243,545 (94.9%) · 채움률 95% 미만"
공8,개발,GA 개발단가,derived,GA4,원,SV,SV metric — 분자: AD_COST(SRC=GA4) / 분모: DEV_CNT(SRC=GA4),AGENCY_AD_PERFORMANCE.AD_COST,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,GA 광고비 / GA 개발 건,PARTIAL,"실측: `FACT_AD_PERFORMANCE.AD_COST` 비영 231,012/243,545 (94.9%) · ⚠️ 채움률은 **적재된 샤드 내부** 기준이다 — GA4 전기간 미입고(G-5)"
공9,개발,GA CTR,derived,GA4,%,SV,SV metric — 분자: CLICKS / 분모: IMPRESSIONS,AGENCY_AD_PERFORMANCE.CLICK_CNT,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,(광고 클릭수 / 광고 노출수) * 100,PARTIAL,"실측: `FACT_AD_PERFORMANCE.CLICKS` 비영 173,825/243,545 (71.4%) · ⚠️ 채움률은 **적재된 샤드 내부** 기준이다 — GA4 전기간 미입고(G-5)"
공10,개발,GA CVR,derived,GA4,%,SV,SV metric — 분자: GA_CONV_MEMBERS / 분모: CLICKS,AGENCY_AD_PERFORMANCE.CONV_MEMBER_CNT,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,(광고 전환수 / 광고 클릭수) * 100,PARTIAL,"실측: `FACT_AD_PERFORMANCE.GA_CONV_MEMBERS` 비영 45,823/243,545 (18.8%) · ⚠️ 채움률은 **적재된 샤드 내부** 기준이다 — GA4 전기간 미입고(G-5)"
공11,개발,매체명(공동브랜드),dimension,AGENCY,코드,DIM_AD_CREATIVE,DIM_AD_CREATIVE,AGENCY_AD_CREATIVE.MEDIA_CHANNEL_NM,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"추정: 배속 차원 `DIM_AD_CREATIVE` 8,716행 실재 — 대응 물리 컬럼 미특정"
공12,개발,플랫폼,dimension,AGENCY,코드,DIM_AD_CREATIVE,DIM_AD_CREATIVE,AGENCY_AD_CREATIVE.MEDIA_CHANNEL_NM,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,"YOUTUBE, KBS, 당근 등 광고를 송출하는 플랫폼",PARTIAL,"추정: 배속 차원 `DIM_AD_CREATIVE` 8,716행 실재 — 대응 물리 컬럼 미특정"
공13,개발,플랫폼 유형,dimension,AGENCY,코드,DIM_AD_CREATIVE,DIM_AD_CREATIVE,AGENCY_AD_CREATIVE.MEDIA_CHANNEL_NM,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"추정: 배속 차원 `DIM_AD_CREATIVE` 8,716행 실재 — 대응 물리 컬럼 미특정"
공14,개발,기기,dimension,AGENCY,코드,DIM_AD_CREATIVE,DIM_AD_CREATIVE,AGENCY_AD_CREATIVE.MEDIA_CHANNEL_NM,DGT_AD_CMPGN_DTLS;REBRDC_AD_CMPGN_DTLS;VIDEO_AD_CMPGN_DTLS,,PARTIAL,"추정: 배속 차원 `DIM_AD_CREATIVE` 8,716행 실재 — 대응 물리 컬럼 미특정"
공15,개발,국내/해외 구분,dimension,AGENCY,코드,DIM_CAMPAIGN,DIM_CAMPAIGN,CRM_CAMPAIGN.CMPGN_NM,TC_CMMN_DTL_CD;TM_CM_BRND_MNG;TM_CM_CMPGN_MNG;TM_CM_MKTNG_CMPGN_MNG,1) 국내 2) 해외 3) 전체 4) 통합,PARTIAL,"추정: 배속 차원 `DIM_CAMPAIGN` 36,144행 실재 — 대응 물리 컬럼 미특정"
