테이블명,테이블 한글명,GRAIN,테이블유형,컬럼명,컬럼 한글명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,AD_CREATIVE_SK,광고소재 대리키,"NUMBER(38,0)",N,PK,,"광고소재 대리키 (ETL 일련번호, PK)",
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,AD_CREATIVE_BK,"광고소재 업무키(BK, 자연키)",VARCHAR,N,BK,,"광고소재 업무키(BK, 자연키)",
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,MEDIA_NAME,매체명/공동브랜드,VARCHAR,Y,,,매체명/공동브랜드(#11),
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,PLATFORM,플랫폼,VARCHAR,Y,,,플랫폼(#12),
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,PLATFORM_TYPE,플랫폼/매체유형,VARCHAR,Y,,,플랫폼/매체유형 (#13). [사유:원천 부재],
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,CREATIVE,소재,VARCHAR,Y,,,소재(#20),
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,CM_POSITION,CM위치,VARCHAR,Y,,,CM위치(#21),
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,AD_TYPE,소재 광고유형,VARCHAR,Y,,,소재 광고유형.,
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,TARGET_GROUP,타겟그룹,VARCHAR,Y,,,TARGET_GROUP.,
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_AD_CREATIVE,광고소재/매체 차원,1소재/매체 (AD_CREATIVE_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,BIGQUERY_EVENT_SK,BigQuery 이벤트 대리키,"NUMBER(38,0)",N,PK,,"BigQuery 이벤트 대리키 (ETL 일련번호, PK)",
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,EVENT_CATEGORY,이벤트 카테고리,VARCHAR,Y,,,이벤트 카테고리(#99),
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,EVENT_LABEL,이벤트 라벨,VARCHAR,Y,,,이벤트 라벨(#100),
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,EVENT_ACTION,이벤트 액션,VARCHAR,Y,,,이벤트 액션(#101),
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_BIGQUERY_EVENT,BigQuery 이벤트분류 차원,1BigQuery 이벤트분류 (BIGQUERY_EVENT_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,BIGQUERY_SOURCE_SK,BigQuery 트래픽소스 대리키,"NUMBER(38,0)",N,PK,,"BigQuery 트래픽소스 대리키 (ETL 일련번호, PK)",
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,UTM_SOURCE,UTM 소스,VARCHAR,Y,,,source,
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,UTM_MEDIUM,UTM 매체,VARCHAR,Y,,,medium,
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,UTM_CONTENT,UTM 콘텐츠,VARCHAR,Y,,,세션 수동 광고 콘텐츠(#103),
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,UTM_TERM,UTM 검색어,VARCHAR,Y,,,세션 수동 검색어(#104),
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,SOURCE_MEDIUM,세션 소스/매체,VARCHAR,Y,,,세션 소스/매체(#109),
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,DEFAULT_CHANNEL_GROUP,DEFAULT_CHANNEL_GROUP,VARCHAR,Y,,,[DEC.,
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,DW_SOURCE_SYSTEM,원천 시스템 식별,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,DW_LOAD_TS,최초 적재 시각,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,DW_UPDATE_TS,최종 갱신 시각,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_BIGQUERY_SOURCE,BigQuery 트래픽소스 차원,1BigQuery 트래픽소스 (BIGQUERY_SOURCE_SK),DIMENSION,DW_BATCH_ID,적재 배치 식별자,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
