테이블명,GRAIN,테이블유형,컬럼명,타입,NULLABLE,키,FK_타깃,설명,주의_제약(DDL)
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,AD_CREATIVE_SK,"NUMBER(38,0)",N,PK,,"광고소재 대리키 (ETL 일련번호, PK)",
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,AD_CREATIVE_BK,VARCHAR,N,BK,,"광고소재 업무키(BK, 자연키)",
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,MEDIA_NAME,VARCHAR,Y,,,매체명/공동브랜드(#11),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,PLATFORM,VARCHAR,Y,,,플랫폼(#12),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,PLATFORM_TYPE,VARCHAR,Y,,,플랫폼/매체유형(#13),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,CREATIVE,VARCHAR,Y,,,소재(#20),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,CM_POSITION,VARCHAR,Y,,,CM위치(#21),
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,RT_TYPE,VARCHAR,Y,,,RT유형,
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,AD_TYPE,VARCHAR,Y,,,소재 광고유형. ⚠️코어 FACT_AD_PERFORMANCE.AD_SOURCE_TYPE(원천 출처축 DIGITAL/VIDEO/REBROADCAST)과 다른 개념 — WIDE 에서는 AD_CREATIVE_TYPE 으로 노출,
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,TARGET_GROUP,VARCHAR,Y,,,타겟그룹,
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_AD_CREATIVE,광고소재/매체,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,BUDGET_ITEM_SK,"NUMBER(38,0)",N,PK,,"예산 세세목 대리키 (ETL 일련번호, PK)",
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,BUDGET_ITEM_NAME,VARCHAR,Y,,,세세목명,
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,BUDGET_CATEGORY,VARCHAR,Y,,,예산구분,
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_SOURCE_SYSTEM,VARCHAR,N,,,원천 시스템 식별 (공통감사),공통감사
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_LOAD_TS,TIMESTAMP_NTZ,N,,,최초 적재 시각 (공통감사),공통감사
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_UPDATE_TS,TIMESTAMP_NTZ,Y,,,최종 갱신 시각 (공통감사),공통감사
DIM_BUDGET_ITEM,예산 세세목,DIMENSION,DW_BATCH_ID,VARCHAR,Y,,,적재 배치 식별자 = dbt invocation_id (공통감사),공통감사
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_SK,"NUMBER(38,0)",N,PK,,"캠페인 대리키 (ETL 일련번호, PK)",
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_BK,VARCHAR,N,BK,,"캠페인 업무키(BK, 자연키)",
DIM_CAMPAIGN,1캠페인,DIMENSION,BRAND,VARCHAR,Y,,,공통브랜드(#117),
DIM_CAMPAIGN,1캠페인,DIMENSION,PARENT_CAMPAIGN,VARCHAR,Y,,,상위캠페인 코드(#119) — 자기참조 키(값 도메인 = CAMPAIGN_BK). 🔴 라벨이 아니다. 사람이 읽는 이름은 PARENT_CAMPAIGN_NAME 을 쓴다(O37 신설),
DIM_CAMPAIGN,1캠페인,DIMENSION,CAMPAIGN_NAME,VARCHAR,Y,,,캠페인명(#18·120·147),
