SILVER_TABLE,COLUMN,STATUS,판정군,소비GOLD모델,SILVER내부소비,근거(실측 2026-08-03)
AGENCY_AD_BROADCAST,RT_TYPE,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,PRG_START_TIME,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,DVLP_MEMBER_CNT,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,SPOT_TYPE,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,CTV_DIV,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,CM_POSITION,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,AD_CNT,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,TIME_BAND,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,CHANNEL_COMPANY,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,PROGRAM_NM,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,DURATION_SEC,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,BRDC_DIV,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,DAY_DIV,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,AD_START_TIME,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,CHANNEL_COMPANY_TYPE,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,CPC_SRC,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,BROADCAST_DATE,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,AD_PERF_DK,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,DVLP_CNT,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,AD_END_TIME,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,CONV_CALL_CNT,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST,AD_VIEW_RT_SRC,REFERENCED,,FACT_AD_BROADCAST,,
AGENCY_AD_BROADCAST_CASE,FAMILY_TYPE,REFERENCED,,FACT_AD_BROADCAST_CASE,,
AGENCY_AD_BROADCAST_CASE,APPEAL_POINT,REFERENCED,,FACT_AD_BROADCAST_CASE,,
AGENCY_AD_BROADCAST_CASE,CASE_DIV,REFERENCED,,FACT_AD_BROADCAST_CASE,,
AGENCY_AD_BROADCAST_CASE,BIZ_DIV,REFERENCED,,FACT_AD_BROADCAST_CASE,,
AGENCY_AD_BROADCAST_CASE,AD_PERF_DK,REFERENCED,,FACT_AD_BROADCAST_CASE,,
AGENCY_AD_BROADCAST_CASE,CASE_SEQ,REFERENCED,,FACT_AD_BROADCAST_CASE,,
AGENCY_AD_CREATIVE,SOURCE_SYSTEM,REFERENCED,,DIM_AD_CREATIVE,,
AGENCY_AD_CREATIVE,CREATIVE_TYPE_NM,REFERENCED,,DIM_AD_CREATIVE,,
AGENCY_AD_CREATIVE,CREATIVE_DK,REFERENCED,,DIM_AD_CREATIVE,,
AGENCY_AD_CREATIVE,AD_SEC_NM,DROPPED,A_해소_중복축DROP,DIM_AD_CREATIVE,,[2026-08-04 DEC-30] 🟢 해소 — DIM_AD_CREATIVE.DURATION_SEC DROP 완료. 결정적 근거: 초수는 소재에 함수종속하지 않는다(소재 41종 중 19종이 복수 초수·최대 3종·함수종속 53.7%) ⇒ 방송 속성이며 소재차원은 오배치였다. 정본 소재지 = FACT_AD_BROADCAST.DURATION_SEC(HH:MM:SS 파싱 배선 완료·커버리지 93.1% 예상).
AGENCY_AD_CREATIVE,MEDIA_CHANNEL_NM,REFERENCED,,DIM_AD_CREATIVE,,
AGENCY_AD_CREATIVE,CREATIVE_NM,REFERENCED,,DIM_AD_CREATIVE,,
AGENCY_AD_CREATIVE,CM_AREA_NM,REFERENCED,,DIM_AD_CREATIVE,,
AGENCY_AD_DIGITAL,CPA_SRC,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,CRM_DEV_CNT,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,MEDIA_POTENTIAL_CUST_CNT,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,PAGE_TYPE,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,CVR_SRC,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,CPM_SRC,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,CPC_SRC,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,READ_CNT,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,AD_PERF_DK,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,AD_TYPE_NM,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,VTR_SRC,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,AD_GROUP_NM,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,CREATIVE_TYPE,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,DEV_UNIT_PRICE_SRC,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,CTR_SRC,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_DIGITAL,GROUP_DIV,REFERENCED,,FACT_AD_DIGITAL,,
AGENCY_AD_PERFORMANCE,AD_DATE,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,AD_MONTH,DROPPED,E→DROP_날짜파생,FACT_AD_PERFORMANCE,,[2026-08-04 판정] 연/월/일 파생값. 차원모델 규약상 날짜 속성은 DIM_DATE 로 conform 한다(GOLD 에 YEAR·MONTH·QUARTER·DAY·FULL_DATE 실재) → 팩트에 중복 저장 불요. DATE_SK/MONTH_KEY 로 이미 배선됨
AGENCY_AD_PERFORMANCE,AD_COST,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,DEVICE_NM,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,PROGRAM_NM,DROPPED,E→DROP_중복축,FACT_AD_PERFORMANCE,,[2026-08-04 판정] §18-D ① 같은 역할 컬럼이 GOLD 에 이미 존재 → FACT_AD_BROADCAST.PROGRAM_NM. 라벨은 코드사전 조인으로 만드는 것이 정본(P31)이므로 원천 라벨 컬럼 미승계는 정상
AGENCY_AD_PERFORMANCE,AD_SOURCE_TYPE,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,CREATIVE_NM,DROPPED,E→판정정정_도달불가,FACT_AD_PERFORMANCE,,"[2026-08-04 자기검토 정정] 🔴 종전 ""중복축 DROP"" 판정은 **틀렸다** — 대상 DIM_AD_CREATIVE.CREATIVE 은 존재하지만 **어떤 팩트에서도 조인으로 도달할 수 없다**(연결 FK 가 100% 센티넬 0). 실측: FACT_AD_PERFORMANCE.AD_CREATIVE_SK 243,545/243,545=100% 센티넬 · CAMPAIGN_SK 동일 · FACT_MEMBER_MONTHLY.PAYMENT_SK 40,054,883/40,054,883=100% 센티넬. 증거: WIDE_AD_BROADCAST 의 AD_MEDIA_NAME·AD_CREATIVE 가 38,486행 **전건 NULL** 인데 DIM_AD_CREATIVE 에는 소재 6,326종·매체 106종이 적재돼 있다. ⇒ §18-D ① 은 ""GOLD 에 존재하는가""가 아니라 ""**도달 가능한가**""로 적용해야 한다(P52). 판정 보류 — FK 배선(Q10 이름매칭·소재 부분키·DEC-? 결제축) 확정 후 재판정."
AGENCY_AD_PERFORMANCE,AD_YEAR,DROPPED,E→DROP_날짜파생,FACT_AD_PERFORMANCE,,[2026-08-04 판정] 연/월/일 파생값. 차원모델 규약상 날짜 속성은 DIM_DATE 로 conform 한다(GOLD 에 YEAR·MONTH·QUARTER·DAY·FULL_DATE 실재) → 팩트에 중복 저장 불요. DATE_SK/MONTH_KEY 로 이미 배선됨
AGENCY_AD_PERFORMANCE,IMPRESSION_CNT,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,CAMPAIGN_NM,DROPPED,E→판정정정_도달불가,FACT_AD_PERFORMANCE,,"[2026-08-04 자기검토 정정] 🔴 종전 ""중복축 DROP"" 판정은 **틀렸다** — 대상 DIM_CAMPAIGN.CAMPAIGN_NAME 은 존재하지만 **어떤 팩트에서도 조인으로 도달할 수 없다**(연결 FK 가 100% 센티넬 0). 실측: FACT_AD_PERFORMANCE.AD_CREATIVE_SK 243,545/243,545=100% 센티넬 · CAMPAIGN_SK 동일 · FACT_MEMBER_MONTHLY.PAYMENT_SK 40,054,883/40,054,883=100% 센티넬. 증거: WIDE_AD_BROADCAST 의 AD_MEDIA_NAME·AD_CREATIVE 가 38,486행 **전건 NULL** 인데 DIM_AD_CREATIVE 에는 소재 6,326종·매체 106종이 적재돼 있다. ⇒ §18-D ① 은 ""GOLD 에 존재하는가""가 아니라 ""**도달 가능한가**""로 적용해야 한다(P52). 판정 보류 — FK 배선(Q10 이름매칭·소재 부분키·DEC-? 결제축) 확정 후 재판정."
AGENCY_AD_PERFORMANCE,CONV_CALL_CNT,DROPPED,C_원천값없음,FACT_AD_PERFORMANCE,,"SILVER 0 non-null · BRONZE_AGENCY.VIDEO_AD_CMPGN_DTLS.CONV_CALL_CNT(FLOAT,""전환콜"") 36,416행도 전건 NULL 확인(2026-08-03 사후 검증) → GOLD ALL_NULL 은 충실"
AGENCY_AD_PERFORMANCE,UPPER_CAMPAIGN_NM,DROPPED,E→판정정정_도달불가,FACT_AD_PERFORMANCE,,"[2026-08-04 자기검토 정정] 🔴 종전 ""중복축 DROP"" 판정은 **틀렸다** — 대상 DIM_CAMPAIGN.PARENT_CAMPAIGN 은 존재하지만 **어떤 팩트에서도 조인으로 도달할 수 없다**(연결 FK 가 100% 센티넬 0). 실측: FACT_AD_PERFORMANCE.AD_CREATIVE_SK 243,545/243,545=100% 센티넬 · CAMPAIGN_SK 동일 · FACT_MEMBER_MONTHLY.PAYMENT_SK 40,054,883/40,054,883=100% 센티넬. 증거: WIDE_AD_BROADCAST 의 AD_MEDIA_NAME·AD_CREATIVE 가 38,486행 **전건 NULL** 인데 DIM_AD_CREATIVE 에는 소재 6,326종·매체 106종이 적재돼 있다. ⇒ §18-D ① 은 ""GOLD 에 존재하는가""가 아니라 ""**도달 가능한가**""로 적용해야 한다(P52). 판정 보류 — FK 배선(Q10 이름매칭·소재 부분키·DEC-? 결제축) 확정 후 재판정."
AGENCY_AD_PERFORMANCE,AD_PERF_DK,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,CLICK_CNT,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,AD_CNT,DROPPED,E→DROP_중복축,FACT_AD_PERFORMANCE,,[2026-08-04 판정] §18-D ① 같은 역할 컬럼이 GOLD 에 이미 존재 → FACT_AD_BROADCAST.AD_CNT. 라벨은 코드사전 조인으로 만드는 것이 정본(P31)이므로 원천 라벨 컬럼 미승계는 정상
AGENCY_AD_PERFORMANCE,CONV_MEMBER_CNT,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,CONV_UNIT_CNT,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,INBOUND_CALL_CNT,REFERENCED,,FACT_AD_PERFORMANCE,,
AGENCY_AD_PERFORMANCE,COST_TYPE,DROPPED,E_잔여_코드축개별판정,FACT_AD_PERFORMANCE,,[2026-08-04 1차 분류] 업무 코드 컬럼. 위 4규칙(날짜파생·중복축·기술키·배선후보) 어디에도 해당하지 않아 **개별 판정 대상으로 남긴다**. 판정에는 코드그룹 확정(P29 3원 대조)이 선행돼야 하며 근거 없이 정당화하면 P14 위반
AGENCY_AD_PERFORMANCE,SOURCE_SYSTEM,DROPPED,E→DROP_중복축,FACT_AD_PERFORMANCE,,[2026-08-04 판정] §18-D ① 같은 역할 컬럼이 GOLD 에 이미 존재 → FACT_AD_PERFORMANCE.AD_SOURCE_TYPE. 라벨은 코드사전 조인으로 만드는 것이 정본(P31)이므로 원천 라벨 컬럼 미승계는 정상
AGENCY_AD_PERFORMANCE,MEDIA_CHANNEL_NM,DROPPED,E→판정정정_도달불가,FACT_AD_PERFORMANCE,,"[2026-08-04 자기검토 정정] 🔴 종전 ""중복축 DROP"" 판정은 **틀렸다** — 대상 DIM_AD_CREATIVE.MEDIA_NAME 은 존재하지만 **어떤 팩트에서도 조인으로 도달할 수 없다**(연결 FK 가 100% 센티넬 0). 실측: FACT_AD_PERFORMANCE.AD_CREATIVE_SK 243,545/243,545=100% 센티넬 · CAMPAIGN_SK 동일 · FACT_MEMBER_MONTHLY.PAYMENT_SK 40,054,883/40,054,883=100% 센티넬. 증거: WIDE_AD_BROADCAST 의 AD_MEDIA_NAME·AD_CREATIVE 가 38,486행 **전건 NULL** 인데 DIM_AD_CREATIVE 에는 소재 6,326종·매체 106종이 적재돼 있다. ⇒ §18-D ① 은 ""GOLD 에 존재하는가""가 아니라 ""**도달 가능한가**""로 적용해야 한다(P52). 판정 보류 — FK 배선(Q10 이름매칭·소재 부분키·DEC-? 결제축) 확정 후 재판정."
AGENCY_AD_ROW_DGT,CTR,SILVER_ONLY_CHAIN,,,AGENCY_AD_DIGITAL;AGENCY_AD_PERFORMANCE,
