보고서,영역,섹션,필드값,대응_지표#,GOLD_매핑,매핑근거,매핑교정,종전_매핑,앵커_팩트,앵커_경합,앵커_강제,조립가능도,판정_근거(실측)
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",부서명,,DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT,교정등록부(OPENED_O45),OPENED_O45,DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT,FACT_DEV_ACHIEVEMENT,,,도달불가,[매핑교정 OPENED_O45] 위 「부서」와 동일 — 회원 분석 문맥. ▸ 종전 매핑 `DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT` → 교정 `DIM_MEMBER_ACQUISITION.ACQ_DEPARTMENT` ▸ `FACT_DEV_ACHIEVEMENT` 에 `DIM_MEMBER_ACQUISITION` 로 가는 FK 가 없다
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",기준일시,,⛔ 불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재,⛔불가(등록부),,,FACT_DEV_ACHIEVEMENT,,,원천부재,불가 — 목표 원천 `TM_CM_MBER_DVLP_GOAL` 11컬럼 시간축이 `STDYY`+`STDR_MT` 뿐 — 일자 컬럼 부재
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",매체명(브랜드2),,"⛔ 불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재",⛔불가(등록부),,,FACT_DEV_ACHIEVEMENT,,,원천부재,"불가 — `FACT_AD_PERFORMANCE.AD_CREATIVE_SK` 243,545/243,545 전건 센티넬 + 목표측 매체 축 부재"
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",월 목표,(215밖),FACT_DEV_ACHIEVEMENT.GOAL_CNT,필드인벤토리~,,,FACT_DEV_ACHIEVEMENT,,,조립가능,앵커 팩트 `FACT_DEV_ACHIEVEMENT` 자체의 컬럼
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",일별 실적,,FACT_MEMBER_EVENT.DEV_CNT,교정등록부(WRONG_GRAIN),WRONG_GRAIN,FACT_MEMBER_EVENT.DEV_CNT,FACT_DEV_ACHIEVEMENT,,,요구grain부정합,[매핑교정 WRONG_GRAIN] `FACT_MEMBER_MONTHLY` 에 `DATE_SK` 가 **없다**(물리 확인) — 일자 분해가 원천적으로 불가하다. 일 grain 은 `FME.DATE_SK` 뿐이다. ⚠️단 목표(`FACT_TARGET_DEV`)에는 일자 축이 없으므로 **목표 대비 일별 달성률은 여전히 불가**하다(목표 원천 `TM_CM_MBER_DVLP_GOAL` 시간축 = `STDYY`+`STDR_MT`). ▸ 종전 매핑 `FACT_MEMBER_EVENT.DEV_CNT` → 교정 `FACT_MEMBER_EVENT.DEV_CNT` ▸ 필드값 「일별 실적」 이 **일 축**을 요구하는데 앵커 `FACT_DEV_ACHIEVEMENT` 의 시간축은 **월** 이다. 일 단위 수치는 **일 축**이 필요하다 — 월 팩트에는 일자 분해 경로가 없다. 🔴 앵커가 그 컬럼을 갖고 있다는 사실은 **축을 갖고 있다는 뜻이 아니다** — 종전 검사기는 컬럼 보유만 보고 `조립가능` 으로 통과시켰다(O49 적발 · P104). 해소 경로 = **일 축을 가진 팩트로 앵커를 교체**한다
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",월 실적,,FACT_DEV_ACHIEVEMENT.ACTUAL_CNT,교정등록부(WRONG_GRAIN),WRONG_GRAIN,FACT_DEV_ACHIEVEMENT.ACTUAL_CNT,FACT_DEV_ACHIEVEMENT,,,조립가능,[매핑교정 WRONG_GRAIN] 부서별 실적을 `FMM` 에서 낼 수 없다 — **`FMM` 에 `ORG_SK` 가 없다**(물리 확인). 원천이 부서를 주는 곳은 개발 사건(`ACMSLT_DEPT_CD`)뿐이다. 목표·실적 대응 정본은 `FACT_DEV_ACHIEVEMENT`(grain `MONTH_KEY × ORG_SK × DEV_TYPE`). ▸ 종전 매핑 `FACT_DEV_ACHIEVEMENT.ACTUAL_CNT` → 교정 `FACT_DEV_ACHIEVEMENT.ACTUAL_CNT` ▸ 앵커 팩트 `FACT_DEV_ACHIEVEMENT` 자체의 컬럼
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",월 목표 달성율,공1·2·3,SV metric — 목표달성율(%) = 개발(건)/회원개발목표 (FTG_D 분모),SV파생,,,FACT_DEV_ACHIEVEMENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",(누계)월 목표,(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_DEV_ACHIEVEMENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",(누계)월 실적,(YTD),SV metric — 누계 = base 의 YTD running sum (P7·물리 미저장),SV파생,,,FACT_DEV_ACHIEVEMENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
마케팅,마케팅 보고서,"1. 개발현황 (목표, 실적)",(누계)월 목표 달성율,공1·2·3,SV metric — 목표달성율(%) = 개발(건)/회원개발목표 (FTG_D 분모),SV파생,,,FACT_DEV_ACHIEVEMENT,,,판정불가(SV파생),SV metric — 물리 컬럼이 아니라 base 로 계산된다. base 의 조립가능도를 따른다
